model,test_file,k,hit,ndcg
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,1,0.349903784,0.349903784
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,2,0.491019885,0.438938131
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,3,0.573636947,0.480246662
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,4,0.62944195,0.504280569
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,5,0.674983964,0.521898625
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,6,0.710391276,0.534510964
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,7,0.736626042,0.543255886
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,8,0.758242463,0.550075107
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,9,0.775817832,0.55536582
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,10,0.791148172,0.559797282
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,11,0.803720334,0.563304198
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,12,0.814239897,0.566146986
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,13,0.823220013,0.568505609
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,14,0.83258499,0.57090265
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,15,0.839769083,0.572698673
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,1,0.337844772,0.337844772
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,2,0.478447723,0.426555357
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,3,0.563373958,0.469018475
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,4,0.626106479,0.496035901
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,5,0.670044901,0.513033603
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,6,0.703271328,0.524869095
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,7,0.731751123,0.53436236
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,8,0.75452213,0.541545813
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,9,0.774021809,0.547415801
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,10,0.790570879,0.552199555
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,11,0.803207184,0.555724363
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,12,0.815586915,0.559069839
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,13,0.825978191,0.561799103
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,14,0.835343169,0.564196144
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,15,0.84355356,0.566248742
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,1,0.357729314,0.357729314
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,2,0.498011546,0.446237548
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,3,0.580885183,0.487674366
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,4,0.635599743,0.511238645
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,5,0.679281591,0.52813709
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,6,0.712443874,0.539949734
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,7,0.739448364,0.548951231
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,8,0.76080821,0.555689512
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,9,0.779666453,0.561366409
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,10,0.794740218,0.565723704
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,11,0.808082104,0.569445329
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,12,0.819435536,0.572513459
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,13,0.827710071,0.574686762
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,14,0.835214881,0.576607678
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,15,0.843040411,0.578564061
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,1,0.353495831,0.353495831
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,2,0.49268762,0.441316072
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,3,0.576715843,0.483330184
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,4,0.637139192,0.509353103
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,5,0.678704298,0.525432681
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,6,0.712636305,0.537519506
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,7,0.737844772,0.545922329
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,8,0.759204618,0.55266061
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,9,0.775625401,0.557603758
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,10,0.789352149,0.561571678
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,11,0.801282874,0.56489967
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,12,0.81167415,0.567707789
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,13,0.821167415,0.57020119
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,14,0.828543938,0.572089271
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,15,0.835214881,0.573757007
