model,test_file,k,hit,ndcg
rs_all_wp_0.1.pt,test_inters_rs_all.txt,6,0.720541964,0.542803836
rs_all_wp_0.1.pt,test_inters_rs_all.txt,7,0.745777949,0.551215831
rs_all_wp_0.1.pt,test_inters_rs_all.txt,8,0.767225326,0.557981725
rs_all_wp_0.1.pt,test_inters_rs_all.txt,9,0.786361009,0.56374214
rs_all_wp_0.1.pt,test_inters_rs_all.txt,10,0.802221794,0.568326935
rs_all_wp_0.1.pt,test_inters_rs_all.txt,11,0.814679253,0.571801855
rs_all_wp_0.1.pt,test_inters_rs_all.txt,12,0.82643036,0.574977452
rs_all_wp_0.1.pt,test_inters_rs_all.txt,13,0.835869775,0.57745671
rs_all_wp_0.1.pt,test_inters_rs_all.txt,14,0.844474411,0.579659136
rs_all_wp_0.1.pt,test_inters_rs_all.txt,15,0.852308483,0.581617654
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,1,0.36049573,0.36049573
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,2,0.501958518,0.449748812
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,3,0.589096513,0.493317809
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,4,0.646118282,0.517875748
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,5,0.688756181,0.534370339
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,6,0.72272523,0.546470359
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,7,0.750337122,0.555674323
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,8,0.770628652,0.562075588
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,9,0.790149618,0.567951984
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,10,0.805753548,0.572462531
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,11,0.819752135,0.576367339
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,12,0.829962114,0.579126464
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,13,0.839016246,0.581504528
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,14,0.847685096,0.58372339
rs_all_no_rel_wp_0.1.pt,test_inters_rs_all.txt,15,0.857702434,0.586227724
rs_all_wp_0.01.pt,test_inters_rs_all.txt,1,0.371155205,0.371155205
rs_all_wp_0.01.pt,test_inters_rs_all.txt,2,0.511333719,0.459598
rs_all_wp_0.01.pt,test_inters_rs_all.txt,3,0.592242985,0.500052633
rs_all_wp_0.01.pt,test_inters_rs_all.txt,4,0.647916265,0.52402981
rs_all_wp_0.01.pt,test_inters_rs_all.txt,5,0.68926989,0.540027576
rs_all_wp_0.01.pt,test_inters_rs_all.txt,6,0.721312528,0.551441394
rs_all_wp_0.01.pt,test_inters_rs_all.txt,7,0.74770436,0.560238671
rs_all_wp_0.01.pt,test_inters_rs_all.txt,8,0.769537019,0.567126108
rs_all_wp_0.01.pt,test_inters_rs_all.txt,9,0.786425223,0.572209964
rs_all_wp_0.01.pt,test_inters_rs_all.txt,10,0.803698709,0.577203121
rs_all_wp_0.01.pt,test_inters_rs_all.txt,11,0.816734091,0.580839249
rs_all_wp_0.01.pt,test_inters_rs_all.txt,12,0.829962114,0.584413966
rs_all_wp_0.01.pt,test_inters_rs_all.txt,13,0.840172093,0.587095612
rs_all_wp_0.01.pt,test_inters_rs_all.txt,14,0.848134592,0.589133677
rs_all_wp_0.01.pt,test_inters_rs_all.txt,15,0.856931869,0.591332997
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,1,0.36640339,0.36640339
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,2,0.513838053,0.459424306
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,3,0.596288448,0.500649503
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,4,0.652347011,0.524792612
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,5,0.695113337,0.541336886
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,6,0.724587427,0.551835768
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,7,0.749630771,0.56018355
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,8,0.771399217,0.56705073
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,9,0.788736916,0.572269897
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,10,0.802093367,0.576130777
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,11,0.814871894,0.579695257
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,12,0.827907275,0.583217915
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,13,0.837410903,0.585714038
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,14,0.845822899,0.587867156
rs_all_no_rel_wp_0.01.pt,test_inters_rs_all.txt,15,0.852693765,0.589584872
