


















Evaluating........................................................................................................................epoch:  28, time: 0.0h 1.0min 10.988133668899536sec, valid (NDCG@10: 0.5064, HR@10: 0.7641), test (NDCG@10: 0.4809, HR@10: 0.7381)



















Evaluating........................................................................................................................epoch:  29, time: 0.0h 1.0min 13.009443759918213sec, valid (NDCG@10: 0.5074, HR@10: 0.7636), test (NDCG@10: 0.4830, HR@10: 0.7394)



















Evaluating........................................................................................................................epoch:  30, time: 0.0h 1.0min 14.928962230682373sec, valid (NDCG@10: 0.5137, HR@10: 0.7714), test (NDCG@10: 0.4886, HR@10: 0.7416)



















Evaluating........................................................................................................................epoch:  31, time: 0.0h 1.0min 16.78701424598694sec, valid (NDCG@10: 0.5202, HR@10: 0.7722), test (NDCG@10: 0.4881, HR@10: 0.7452)



















Evaluating........................................................................................................................epoch:  32, time: 0.0h 1.0min 18.760992765426636sec, valid (NDCG@10: 0.5209, HR@10: 0.7747), test (NDCG@10: 0.4926, HR@10: 0.7472)



















Evaluating........................................................................................................................epoch:  33, time: 0.0h 1.0min 20.625253200531006sec, valid (NDCG@10: 0.5211, HR@10: 0.7775), test (NDCG@10: 0.4967, HR@10: 0.7498)



















Evaluating........................................................................................................................epoch:  34, time: 0.0h 1.0min 22.493829011917114sec, valid (NDCG@10: 0.5229, HR@10: 0.7763), test (NDCG@10: 0.4956, HR@10: 0.7510)



















Evaluating........................................................................................................................epoch:  35, time: 0.0h 1.0min 24.36792278289795sec, valid (NDCG@10: 0.5280, HR@10: 0.7806), test (NDCG@10: 0.5003, HR@10: 0.7536)



















Evaluating........................................................................................................................epoch:  36, time: 0.0h 1.0min 26.284641981124878sec, valid (NDCG@10: 0.5301, HR@10: 0.7839), test (NDCG@10: 0.5015, HR@10: 0.7503)


















